"Timestamp","Rate each candidate [DeRose Alfred]","Rate each candidate [Trent Griffin]","Rate each candidate [Lešková Eva]","Rate each candidate [Staniševský Jiří]","Rate each candidate [Heřmanský Petr]","Rate each candidate [Simandl Jakub]","Rate each candidate [Štětinová Zuzana]"
"2022/03/22 3:14:11 PM GMT+2","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐ (4)","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐ (4)","⭐⭐⭐ (3)","No opinion","⭐⭐⭐⭐⭐ (5)"
"2022/03/22 3:21:58 PM GMT+2","⭐ (1)","⭐ (1)","⭐⭐⭐ (3)","⭐⭐⭐ (3)","⭐⭐⭐ (3)","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐ (3)"
"2022/03/22 3:35:58 PM GMT+2","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐⭐ (5)","⭐ (1)","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐⭐ (5)"
"2022/03/22 3:40:40 PM GMT+2","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐⭐ (5)","No opinion","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐⭐ (5)","⭐ (1)"
"2022/03/22 7:17:09 PM GMT+2","⭐⭐⭐⭐ (4)","⭐⭐⭐ (3)","⭐ (1)","⭐ (1)","⭐⭐⭐ (3)","⭐⭐⭐⭐ (4)","⭐⭐⭐⭐⭐ (5)"
"2022/03/22 7:58:53 PM GMT+2","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐ (4)","⭐⭐⭐⭐ (4)","⭐⭐⭐⭐⭐ (5)","⭐ (1)","⭐ (1)","⭐⭐⭐⭐⭐ (5)"
"2022/03/23 1:18:58 PM GMT+2","No opinion","No opinion","No opinion","No opinion","No opinion","⭐⭐⭐⭐⭐ (5)","No opinion"
"2022/03/23 3:54:22 PM GMT+2","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐ (3)","⭐⭐⭐ (3)","⭐ (1)","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐ (3)"
"2022/03/25 2:51:40 PM GMT+2","⭐ (1)","⭐⭐ (2)","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐ (4)","⭐⭐⭐⭐ (4)","⭐ (1)"
"2022/03/25 3:21:32 PM GMT+2","⭐ (1)","⭐⭐⭐ (3)","⭐⭐⭐⭐⭐ (5)","No opinion","⭐⭐⭐⭐ (4)","⭐⭐⭐⭐ (4)","⭐ (1)"
"2022/03/25 3:35:14 PM GMT+2","⭐⭐ (2)","⭐⭐⭐⭐ (4)","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐ (4)","⭐ (1)"
"2022/03/25 4:11:15 PM GMT+2","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐ (3)","⭐⭐⭐⭐ (4)","⭐⭐ (2)","⭐⭐⭐ (3)","⭐⭐⭐⭐⭐ (5)"
"2022/03/25 6:20:28 PM GMT+2","⭐ (1)","⭐⭐⭐ (3)","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐⭐ (5)","⭐⭐ (2)","⭐⭐⭐⭐⭐ (5)","⭐ (1)"
"2022/03/25 9:22:28 PM GMT+2","⭐⭐ (2)","⭐⭐⭐ (3)","⭐⭐⭐ (3)","⭐⭐⭐ (3)","⭐ (1)","⭐⭐⭐⭐⭐ (5)","⭐⭐ (2)"
"2022/03/28 9:44:20 AM GMT+2","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐ (3)","⭐⭐⭐⭐ (4)","⭐⭐⭐⭐⭐ (5)","⭐ (1)","⭐ (1)","⭐⭐⭐⭐ (4)"
"2022/03/28 2:58:13 PM GMT+2","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐ (3)","⭐⭐⭐⭐ (4)","⭐⭐⭐⭐ (4)","⭐⭐ (2)"
"2022/03/28 2:59:09 PM GMT+2","⭐⭐⭐ (3)","No opinion","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐ (4)","No opinion","⭐ (1)","⭐ (1)"
"2022/03/28 4:01:07 PM GMT+2","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐⭐ (5)","⭐ (1)","⭐⭐⭐⭐⭐ (5)","⭐ (1)","⭐⭐ (2)","⭐⭐⭐⭐ (4)"
"2022/03/29 10:56:16 AM GMT+2","No opinion","No opinion","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐⭐ (5)","No opinion","No opinion","No opinion"
"2022/03/29 10:57:33 AM GMT+2","⭐⭐⭐⭐ (4)","No opinion","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐⭐ (5)","No opinion","No opinion","No opinion"
"2022/03/29 10:58:55 AM GMT+2","⭐⭐⭐ (3)","⭐⭐⭐ (3)","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐⭐ (5)","No opinion","⭐⭐⭐⭐ (4)","No opinion"
"2022/03/29 11:01:22 AM GMT+2","⭐⭐ (2)","⭐⭐ (2)","⭐ (1)","⭐ (1)","⭐ (1)","⭐ (1)","⭐⭐⭐⭐⭐ (5)"
"2022/03/29 11:01:35 AM GMT+2","⭐⭐ (2)","⭐ (1)","⭐ (1)","⭐ (1)","⭐ (1)","⭐⭐ (2)","⭐⭐⭐⭐⭐ (5)"
"2022/03/29 11:02:45 AM GMT+2","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐ (4)","⭐⭐⭐⭐ (4)","⭐⭐⭐ (3)","No opinion","⭐⭐⭐ (3)","⭐⭐⭐⭐ (4)"
"2022/03/29 11:08:38 AM GMT+2","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐ (4)","⭐⭐⭐⭐ (4)","⭐ (1)","⭐ (1)","⭐ (1)","⭐⭐⭐⭐ (4)"
"2022/03/29 11:16:45 AM GMT+2","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐ (4)","⭐⭐⭐⭐ (4)","⭐⭐⭐ (3)","⭐⭐⭐ (3)","⭐⭐⭐ (3)","⭐⭐⭐ (3)"
"2022/03/29 11:54:49 AM GMT+2","⭐⭐⭐ (3)","⭐⭐⭐ (3)","⭐⭐⭐ (3)","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐ (4)","⭐ (1)","⭐ (1)"
"2022/03/29 12:16:44 PM GMT+2","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐ (4)","⭐ (1)","⭐⭐⭐⭐⭐ (5)","⭐ (1)","⭐ (1)","⭐⭐⭐⭐ (4)"
"2022/03/29 4:38:11 PM GMT+2","⭐⭐⭐ (3)","⭐⭐⭐ (3)","⭐⭐⭐⭐ (4)","⭐⭐⭐ (3)","⭐⭐⭐⭐ (4)","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐ (3)"
"2022/03/30 2:29:37 PM GMT+2","⭐⭐⭐⭐ (4)","⭐⭐⭐ (3)","⭐⭐⭐⭐ (4)","⭐⭐⭐ (3)","⭐⭐ (2)","⭐⭐ (2)","⭐⭐⭐⭐⭐ (5)"
"2022/03/30 4:49:16 PM GMT+2","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐ (3)","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐ (4)","⭐⭐⭐ (3)","⭐⭐⭐ (3)"
"2022/03/30 6:31:36 PM GMT+2","⭐⭐ (2)","⭐⭐ (2)","⭐⭐⭐ (3)","⭐⭐⭐⭐ (4)","No opinion","⭐⭐⭐⭐ (4)","⭐⭐⭐ (3)"
"2022/03/31 10:56:19 AM GMT+2","⭐⭐⭐⭐ (4)","⭐⭐⭐⭐ (4)","No opinion","⭐⭐⭐⭐ (4)","No opinion","No opinion","No opinion"
"2022/03/31 11:01:44 AM GMT+2","⭐⭐ (2)","⭐⭐⭐ (3)","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐ (4)","⭐ (1)","⭐ (1)","⭐⭐⭐⭐⭐ (5)"
"2022/03/31 11:04:41 AM GMT+2","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐⭐ (5)","⭐ (1)","⭐⭐⭐ (3)","⭐⭐ (2)","⭐ (1)","⭐⭐⭐⭐ (4)"
"2022/03/31 11:13:42 AM GMT+2","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐⭐ (5)","No opinion","⭐⭐⭐⭐⭐ (5)","No opinion","No opinion","No opinion"
"2022/03/31 11:15:46 AM GMT+2","⭐⭐ (2)","⭐⭐ (2)","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐ (4)","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐ (4)"
"2022/03/31 11:19:04 AM GMT+2","⭐⭐ (2)","⭐⭐⭐⭐ (4)","⭐⭐⭐ (3)","⭐⭐⭐⭐ (4)","No opinion","⭐ (1)","⭐⭐⭐⭐ (4)"
"2022/03/31 1:14:58 PM GMT+2","⭐⭐⭐ (3)","⭐ (1)","⭐ (1)","⭐ (1)","⭐⭐⭐ (3)","⭐ (1)","⭐ (1)"
"2022/03/31 3:29:37 PM GMT+2","⭐⭐⭐⭐ (4)","⭐⭐⭐ (3)","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐ (4)","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐ (3)","⭐ (1)"
