"Timestamp","Rate each candidate [Radek Zábranský]","Rate each candidate [Lara Orrico]","Rate each candidate [Jiří Vejmola]","Rate each candidate [Margarida Yokochi]","Rate each candidate [Roman Vaivod]","Rate each candidate [Petr Vacek]","Rate each candidate [Nik Page]","Rate each candidate [Radek Sojka]","Rate each candidate [Jan Kotrlík]"
"2023/03/28 2:03:15 PM GMT+2","⭐⭐⭐ (3)","⭐⭐ (2)","⭐⭐⭐ (3)","⭐⭐⭐⭐⭐ (5)","⭐⭐ (2)","⭐⭐⭐⭐ (4)","⭐⭐⭐⭐⭐ (5)","⭐ (1)","⭐⭐⭐⭐ (4)"
"2023/03/28 2:43:03 PM GMT+2","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐ (3)","⭐⭐⭐⭐⭐ (5)","No opinion","⭐ (1)","No opinion","⭐⭐⭐⭐ (4)","⭐⭐ (2)","⭐⭐⭐⭐⭐ (5)"
"2023/03/28 2:44:59 PM GMT+2","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐ (3)","⭐⭐⭐⭐ (4)","⭐⭐⭐ (3)","⭐⭐⭐ (3)","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐ (4)"
"2023/03/28 2:48:48 PM GMT+2","⭐⭐⭐ (3)","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐ (3)","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐ (3)","⭐⭐⭐ (3)","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐⭐ (5)"
"2023/03/28 2:51:07 PM GMT+2","⭐ (1)","No opinion","⭐ (1)","⭐⭐⭐ (3)","⭐ (1)","⭐ (1)","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐⭐ (5)"
"2023/03/28 2:55:15 PM GMT+2","⭐⭐⭐ (3)","⭐⭐⭐⭐ (4)","⭐⭐ (2)","⭐⭐⭐⭐⭐ (5)","⭐ (1)","⭐⭐⭐ (3)","⭐ (1)","⭐⭐⭐⭐ (4)","⭐⭐⭐⭐⭐ (5)"
"2023/03/28 2:58:35 PM GMT+2","⭐⭐⭐⭐ (4)","⭐⭐ (2)","⭐⭐⭐⭐ (4)","⭐⭐⭐ (3)","⭐⭐ (2)","⭐⭐⭐ (3)","⭐⭐⭐ (3)","⭐⭐⭐⭐ (4)","⭐⭐⭐⭐⭐ (5)"
"2023/03/28 3:01:39 PM GMT+2","⭐⭐⭐⭐⭐ (5)","⭐ (1)","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐ (3)","⭐⭐⭐ (3)","⭐ (1)","⭐ (1)","⭐⭐⭐ (3)","⭐⭐⭐⭐⭐ (5)"
"2023/03/28 4:59:01 PM GMT+2","⭐⭐⭐⭐ (4)","⭐⭐⭐⭐⭐ (5)","No opinion","⭐⭐⭐⭐ (4)","⭐⭐⭐⭐⭐ (5)","⭐ (1)","⭐⭐⭐ (3)","⭐⭐ (2)","⭐⭐⭐⭐ (4)"
"2023/03/28 4:59:03 PM GMT+2","⭐⭐⭐⭐⭐ (5)","⭐⭐ (2)","⭐⭐⭐⭐⭐ (5)","⭐ (1)","⭐⭐⭐⭐⭐ (5)","⭐ (1)","⭐ (1)","⭐⭐⭐⭐⭐ (5)","⭐ (1)"
"2023/03/28 5:02:42 PM GMT+2","⭐⭐⭐⭐⭐ (5)","⭐ (1)","⭐⭐⭐ (3)","⭐ (1)","⭐⭐⭐⭐⭐ (5)","⭐ (1)","⭐ (1)","⭐⭐⭐⭐⭐ (5)","⭐ (1)"
"2023/03/29 8:12:16 AM GMT+2","⭐ (1)","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐⭐ (5)","⭐ (1)","⭐ (1)","⭐ (1)","⭐ (1)","⭐ (1)","⭐⭐⭐⭐⭐ (5)"
"2023/03/29 5:03:29 PM GMT+2","⭐⭐⭐⭐⭐ (5)","⭐⭐ (2)","⭐⭐ (2)","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐ (3)","⭐⭐⭐⭐ (4)","⭐⭐⭐⭐ (4)","⭐⭐⭐⭐ (4)","⭐⭐⭐⭐ (4)"
"2023/03/30 8:36:49 AM GMT+2","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐ (4)","No opinion","No opinion","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐ (4)","No opinion","No opinion","⭐⭐⭐⭐⭐ (5)"
"2023/03/30 12:38:12 PM GMT+2","⭐ (1)","⭐⭐⭐⭐⭐ (5)","⭐ (1)","⭐ (1)","⭐ (1)","⭐ (1)","⭐⭐⭐⭐⭐ (5)","⭐ (1)","⭐⭐⭐⭐⭐ (5)"
"2023/03/30 9:36:03 PM GMT+2","⭐⭐⭐ (3)","⭐⭐⭐⭐⭐ (5)","No opinion","⭐⭐⭐⭐ (4)","⭐⭐⭐⭐⭐ (5)","No opinion","⭐⭐⭐ (3)","⭐ (1)","⭐⭐ (2)"
"2023/03/31 9:05:53 AM GMT+2","No opinion","⭐⭐⭐⭐ (4)","No opinion","⭐⭐⭐⭐⭐ (5)","⭐⭐ (2)","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐ (3)","⭐⭐ (2)"
"2023/03/31 10:39:27 AM GMT+2","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐⭐ (5)","No opinion","No opinion","No opinion","No opinion","No opinion","⭐⭐⭐ (3)","⭐⭐⭐ (3)"
"2023/03/31 11:59:02 AM GMT+2","⭐ (1)","⭐⭐⭐⭐⭐ (5)","⭐ (1)","⭐ (1)","⭐ (1)","⭐⭐⭐⭐⭐ (5)","⭐ (1)","⭐ (1)","⭐⭐⭐⭐⭐ (5)"
"2023/03/31 11:59:06 AM GMT+2","⭐⭐⭐⭐⭐ (5)","⭐ (1)","No opinion","⭐ (1)","⭐ (1)","⭐ (1)","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐⭐ (5)"
"2023/03/31 11:59:50 AM GMT+2","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐ (3)","⭐⭐⭐⭐ (4)","⭐⭐⭐⭐ (4)","⭐⭐⭐ (3)","⭐⭐ (2)","⭐⭐ (2)","⭐⭐⭐⭐ (4)","⭐⭐⭐⭐⭐ (5)"
"2023/03/31 12:00:01 PM GMT+2","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐ (4)","⭐⭐⭐⭐ (4)","⭐⭐⭐⭐ (4)","⭐⭐⭐⭐ (4)","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐ (4)","⭐⭐⭐⭐ (4)","⭐⭐⭐⭐⭐ (5)"
"2023/03/31 12:00:57 PM GMT+2","⭐ (1)","⭐⭐⭐⭐⭐ (5)","⭐ (1)","⭐ (1)","⭐ (1)","⭐⭐⭐⭐⭐ (5)","⭐ (1)","⭐ (1)","⭐⭐⭐⭐⭐ (5)"
"2023/03/31 12:13:33 PM GMT+2","⭐⭐⭐⭐⭐ (5)","No opinion","⭐⭐⭐ (3)","No opinion","No opinion","No opinion","No opinion","No opinion","⭐⭐⭐⭐⭐ (5)"
"2023/03/31 12:14:47 PM GMT+2","⭐ (1)","⭐⭐⭐⭐⭐ (5)","⭐ (1)","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐⭐ (5)","⭐ (1)","⭐ (1)","⭐ (1)","⭐ (1)"
"2023/03/31 12:52:47 PM GMT+2","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐ (4)","⭐⭐⭐ (3)","⭐⭐⭐ (3)","⭐⭐⭐ (3)","⭐ (1)","⭐⭐ (2)","⭐⭐⭐ (3)","⭐⭐⭐⭐⭐ (5)"
"2023/03/31 1:50:37 PM GMT+2","No opinion","No opinion","No opinion","No opinion","No opinion","⭐⭐⭐⭐⭐ (5)","No opinion","No opinion","No opinion"
"2023/03/31 2:09:56 PM GMT+2","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐ (4)","⭐ (1)","⭐⭐⭐⭐ (4)","⭐ (1)","⭐ (1)","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐ (3)","⭐ (1)"
"2023/03/31 2:23:57 PM GMT+2","No opinion","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐⭐ (5)","No opinion","No opinion","⭐⭐⭐⭐⭐ (5)","No opinion","⭐⭐⭐⭐⭐ (5)"
"2023/03/31 3:40:19 PM GMT+2","⭐⭐⭐⭐ (4)","No opinion","⭐⭐⭐ (3)","⭐⭐⭐⭐ (4)","⭐⭐⭐ (3)","⭐⭐⭐ (3)","⭐⭐⭐⭐ (4)","No opinion","⭐⭐⭐⭐⭐ (5)"
"2023/03/31 3:53:10 PM GMT+2","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐ (4)","⭐⭐⭐⭐⭐ (5)","No opinion","No opinion","No opinion","⭐⭐⭐⭐ (4)","⭐⭐⭐⭐⭐ (5)","No opinion"
"2023/03/31 3:54:39 PM GMT+2","⭐⭐⭐⭐ (4)","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐ (3)","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐ (3)","⭐ (1)","⭐⭐ (2)","⭐⭐ (2)","⭐⭐⭐⭐⭐ (5)"
