"Timestamp","Rate each candidate [Verhovyh Kira]","Rate each candidate [Winter Bram]","Rate each candidate [Zota Viktoriia]","Rate each candidate [Cicvárek Filip]","Rate each candidate [Bishell Craig]","Rate each candidate [Mykolayevych Taras]","Rate each candidate [Ciompa Přemysl]","Rate each candidate [Hořínek Jakub]","Rate each candidate [Dřevíkovská Barbora]","Rate each candidate [Vejmola Jiři]"
"2022/09/21 4:00:53 PM GMT+2","⭐⭐⭐⭐⭐ (5)","⭐ (1)","⭐ (1)","⭐ (1)","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐⭐ (5)","⭐ (1)","⭐ (1)","⭐ (1)","⭐⭐⭐⭐ (4)"
"2022/09/21 4:01:29 PM GMT+2","⭐ (1)","⭐⭐⭐⭐ (4)","⭐⭐⭐ (3)","⭐⭐⭐⭐ (4)","⭐ (1)","⭐ (1)","⭐⭐ (2)","⭐⭐⭐⭐ (4)","⭐⭐⭐⭐ (4)","⭐⭐⭐ (3)"
"2022/09/21 11:17:09 PM GMT+2","⭐⭐⭐⭐ (4)","⭐ (1)","⭐⭐⭐ (3)","No opinion","No opinion","No opinion","⭐⭐⭐⭐⭐ (5)","No opinion","⭐⭐ (2)","No opinion"
"2022/09/22 9:16:03 AM GMT+2","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐ (4)","⭐⭐ (2)","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐⭐ (5)","⭐⭐ (2)","⭐⭐ (2)","⭐⭐⭐⭐ (4)","⭐⭐⭐⭐⭐ (5)","⭐⭐ (2)"
"2022/09/22 1:17:03 PM GMT+2","⭐⭐⭐ (3)","⭐⭐⭐⭐ (4)","⭐⭐⭐ (3)","⭐⭐⭐⭐ (4)","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐ (4)","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐ (4)","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐ (3)"
"2022/09/22 1:29:00 PM GMT+2","⭐ (1)","⭐⭐⭐ (3)","⭐ (1)","⭐ (1)","⭐⭐⭐⭐ (4)","⭐⭐⭐⭐ (4)","⭐⭐ (2)","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐ (3)","⭐ (1)"
"2022/09/22 4:09:32 PM GMT+2","No opinion","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐ (3)","⭐⭐⭐ (3)","⭐⭐⭐⭐⭐ (5)","No opinion","⭐⭐⭐⭐⭐ (5)","No opinion","No opinion","⭐⭐⭐⭐ (4)"
"2022/09/23 10:43:54 AM GMT+2","⭐⭐⭐⭐ (4)","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐ (4)","No opinion","⭐⭐⭐⭐ (4)","⭐⭐⭐⭐ (4)","⭐ (1)","⭐⭐⭐⭐ (4)","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐⭐ (5)"
"2022/09/23 12:55:54 PM GMT+2","⭐⭐⭐ (3)","⭐ (1)","⭐ (1)","⭐ (1)","⭐ (1)","⭐ (1)","⭐ (1)","⭐⭐⭐ (3)","⭐⭐⭐ (3)","⭐⭐ (2)"
"2022/09/23 1:12:24 PM GMT+2","⭐ (1)","⭐⭐⭐⭐ (4)","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐ (4)","⭐⭐⭐ (3)","⭐ (1)","⭐⭐⭐⭐ (4)","⭐⭐ (2)","⭐⭐⭐ (3)","⭐⭐⭐ (3)"
"2022/09/23 1:37:19 PM GMT+2","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐⭐ (5)","⭐ (1)","⭐ (1)","⭐⭐⭐⭐⭐ (5)","⭐ (1)","⭐⭐⭐ (3)","⭐⭐⭐ (3)","⭐⭐⭐ (3)","⭐⭐⭐ (3)"
"2022/09/23 1:51:24 PM GMT+2","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐ (3)","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐⭐ (5)","⭐⭐ (2)","⭐ (1)","⭐⭐⭐⭐ (4)","⭐⭐⭐ (3)","⭐⭐⭐⭐ (4)","⭐⭐⭐⭐ (4)"
"2022/09/23 2:29:12 PM GMT+2","⭐ (1)","⭐⭐⭐⭐ (4)","⭐ (1)","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐⭐ (5)","⭐⭐ (2)","⭐⭐⭐ (3)","⭐⭐ (2)","⭐⭐ (2)","⭐⭐⭐⭐⭐ (5)"
"2022/09/23 5:10:27 PM GMT+2","⭐⭐ (2)","⭐⭐⭐⭐ (4)","⭐ (1)","⭐⭐⭐⭐⭐ (5)","⭐ (1)","⭐⭐⭐ (3)","⭐ (1)","⭐ (1)","⭐ (1)","⭐ (1)"
"2022/09/23 5:12:14 PM GMT+2","⭐⭐⭐⭐⭐ (5)","No opinion","No opinion","No opinion","No opinion","No opinion","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐⭐ (5)"
"2022/09/23 6:59:54 PM GMT+2","No opinion","No opinion","No opinion","No opinion","⭐⭐⭐⭐⭐ (5)","No opinion","No opinion","No opinion","No opinion","No opinion"
"2022/09/23 7:25:38 PM GMT+2","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐ (3)","⭐⭐⭐ (3)","⭐⭐⭐ (3)","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐ (3)","⭐ (1)","⭐⭐⭐ (3)","⭐⭐⭐ (3)","⭐⭐⭐ (3)"
"2022/09/25 9:13:29 PM GMT+2","⭐⭐ (2)","⭐⭐⭐⭐ (4)","⭐⭐⭐⭐⭐ (5)","⭐⭐ (2)","⭐⭐⭐ (3)","⭐⭐⭐⭐ (4)","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐ (4)","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐ (3)"
"2022/09/26 9:16:21 AM GMT+2","⭐⭐ (2)","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐ (3)","⭐⭐⭐⭐ (4)","⭐⭐ (2)","⭐⭐⭐ (3)","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐ (4)","No opinion"
"2022/09/26 9:29:27 AM GMT+2","⭐⭐⭐⭐ (4)","No opinion","⭐⭐⭐⭐⭐ (5)","⭐⭐ (2)","⭐⭐⭐ (3)","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐ (4)","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐ (4)","No opinion"
"2022/09/26 10:00:19 AM GMT+2","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐⭐ (5)","⭐ (1)","⭐⭐⭐ (3)","⭐⭐⭐ (3)","⭐⭐ (2)","⭐⭐⭐⭐ (4)","⭐⭐⭐⭐ (4)","⭐⭐ (2)","⭐⭐ (2)"
"2022/09/26 4:27:54 PM GMT+2","⭐ (1)","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐⭐ (5)","⭐ (1)","⭐⭐⭐ (3)","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐ (4)","⭐⭐ (2)","⭐⭐⭐ (3)","⭐⭐ (2)"
"2022/09/26 7:14:52 PM GMT+2","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐ (4)","⭐⭐ (2)","No opinion","⭐⭐⭐ (3)","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐⭐ (5)","No opinion","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐ (4)"
"2022/09/27 11:43:27 AM GMT+2","⭐ (1)","⭐⭐⭐⭐ (4)","⭐⭐⭐⭐⭐ (5)","⭐ (1)","⭐⭐⭐⭐⭐ (5)","⭐ (1)","⭐ (1)","⭐⭐⭐⭐ (4)","⭐ (1)","⭐ (1)"
"2022/09/27 11:44:22 AM GMT+2","⭐⭐⭐ (3)","⭐⭐ (2)","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐ (3)","⭐⭐ (2)","⭐⭐⭐⭐ (4)","⭐⭐⭐ (3)","⭐⭐⭐⭐ (4)","⭐⭐⭐⭐⭐ (5)"
"2022/09/27 12:45:04 PM GMT+2","⭐⭐⭐ (3)","⭐⭐⭐ (3)","⭐⭐⭐⭐⭐ (5)","⭐ (1)","⭐⭐⭐ (3)","⭐ (1)","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐⭐ (5)","⭐⭐ (2)","⭐⭐ (2)"
"2022/09/27 3:14:28 PM GMT+2","⭐⭐ (2)","⭐⭐⭐⭐ (4)","⭐⭐⭐⭐ (4)","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐ (4)","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐ (3)","⭐⭐ (2)","⭐⭐⭐⭐⭐ (5)"
"2022/09/27 6:27:37 PM GMT+2","⭐⭐⭐⭐ (4)","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐ (4)","⭐⭐⭐⭐ (4)","⭐⭐⭐⭐ (4)","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐ (4)","⭐⭐⭐⭐ (4)","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐ (4)"
"2022/09/29 9:46:23 AM GMT+2","⭐⭐⭐⭐ (4)","⭐ (1)","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐ (4)","⭐ (1)","⭐⭐⭐⭐⭐ (5)","⭐ (1)","⭐ (1)","⭐⭐⭐⭐⭐ (5)"
"2022/09/30 6:48:41 AM GMT+2","⭐⭐⭐ (3)","⭐⭐⭐ (3)","⭐⭐⭐⭐⭐ (5)","⭐ (1)","⭐⭐⭐ (3)","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐ (3)","⭐⭐⭐ (3)","⭐⭐ (2)","⭐⭐⭐ (3)"
"2022/09/30 9:38:20 AM GMT+2","⭐⭐⭐ (3)","⭐⭐ (2)","⭐ (1)","⭐ (1)","⭐ (1)","⭐ (1)","⭐⭐⭐ (3)","⭐⭐⭐ (3)","⭐⭐⭐ (3)","⭐⭐ (2)"
"2022/09/30 9:55:04 AM GMT+2","⭐⭐⭐⭐ (4)","⭐⭐⭐⭐ (4)","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐⭐ (5)","No opinion","⭐⭐⭐⭐ (4)","⭐⭐⭐⭐ (4)","No opinion"
"2022/09/30 9:56:16 AM GMT+2","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐ (3)","⭐⭐⭐ (3)","⭐⭐⭐⭐ (4)","⭐⭐⭐ (3)","⭐ (1)","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐ (4)"
"2022/09/30 10:18:17 AM GMT+2","⭐ (1)","⭐ (1)","⭐⭐⭐⭐ (4)","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐⭐ (5)","⭐ (1)","⭐⭐⭐⭐ (4)","⭐⭐⭐⭐ (4)","⭐⭐ (2)","⭐ (1)"
"2022/09/30 10:20:53 AM GMT+2","⭐ (1)","⭐⭐⭐⭐ (4)","⭐⭐⭐ (3)","⭐ (1)","⭐ (1)","⭐⭐⭐ (3)","⭐⭐⭐⭐ (4)","⭐⭐⭐ (3)","⭐⭐⭐⭐ (4)","⭐⭐⭐ (3)"
"2022/09/30 10:33:37 AM GMT+2","⭐⭐ (2)","⭐⭐⭐⭐⭐ (5)","⭐ (1)","No opinion","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐ (3)","⭐⭐⭐⭐ (4)","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐⭐ (5)","⭐⭐ (2)"
"2022/09/30 11:04:53 AM GMT+2","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐ (3)","⭐ (1)","⭐⭐⭐⭐⭐ (5)","⭐ (1)","⭐⭐⭐⭐⭐ (5)","⭐ (1)","⭐ (1)","⭐ (1)","⭐ (1)"
"2022/09/30 11:10:13 AM GMT+2","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐ (4)","⭐ (1)","⭐⭐ (2)","⭐ (1)","⭐ (1)","⭐⭐⭐ (3)","⭐⭐⭐⭐ (4)","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐ (4)"
"2022/09/30 12:29:13 PM GMT+2","No opinion","⭐⭐⭐⭐ (4)","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐ (3)","⭐ (1)","⭐⭐⭐ (3)","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐⭐ (5)"
"2022/09/30 12:35:01 PM GMT+2","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐ (3)","⭐⭐⭐⭐ (4)","⭐⭐⭐ (3)","⭐⭐⭐⭐ (4)","⭐⭐⭐ (3)","⭐⭐⭐ (3)","⭐⭐⭐ (3)","⭐⭐⭐ (3)","⭐⭐⭐ (3)"
"2022/09/30 4:36:19 PM GMT+2","⭐⭐⭐⭐ (4)","⭐⭐⭐ (3)","⭐⭐⭐⭐⭐ (5)","⭐⭐ (2)","⭐⭐⭐⭐ (4)","⭐⭐⭐ (3)","⭐⭐⭐⭐ (4)","⭐⭐ (2)","⭐⭐⭐⭐ (4)","⭐⭐ (2)"
"2022/09/30 5:31:11 PM GMT+2","⭐⭐⭐ (3)","⭐⭐ (2)","⭐ (1)","⭐⭐⭐ (3)","⭐⭐⭐⭐ (4)","⭐ (1)","⭐⭐⭐⭐⭐ (5)","⭐⭐ (2)","⭐⭐⭐ (3)","⭐⭐⭐ (3)"
"2022/09/30 5:34:21 PM GMT+2","⭐⭐⭐⭐⭐ (5)","No opinion","No opinion","⭐⭐⭐⭐⭐ (5)","No opinion","No opinion","No opinion","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐⭐ (5)","No opinion"
"2022/09/30 6:14:54 PM GMT+2","⭐⭐⭐ (3)","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐ (4)","⭐⭐⭐⭐ (4)","⭐⭐⭐⭐ (4)","⭐ (1)","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐⭐ (5)","⭐⭐⭐⭐⭐ (5)"
